trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
172,False,"{'a': 0.5, 'e': 0.4222502236424958}",20,0,-65.40813238187715,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
173,False,"{'a': 0.5, 'e': 0.42013897252428334}",20,0,-24.216568850401366,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
174,False,"{'a': 0.5, 'e': 0.4180382776616619}",25,15,2.4620019491452454,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.4159480862733536}",30,19,20.752625130547365,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.41386834584198684}",20,6,16.91535718615,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.4117990041127769}",20,16,7.650134964942969,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.40974000909221303}",30,18,-31.691050161574204,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
179,False,"{'a': 0.5, 'e': 0.40769130904675194}",25,6,6.469514374979253,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.40565285250151817}",30,18,23.33778173099369,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.4036245882390106}",20,0,-6.498964031632736,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
